"SCHOOL_ID","BUILDING_ID"
10183,15288
10192,4974
10614,8020
10631,13949
10651,14758
11216,3482
11254,1600
11452,13130
10886,40492
10007,27944
10467,7547
11267,3800
11254,1617
11133,9427
11313,1162
10828,4011
10119,4549
10596,1873
11099,529
11140,3530
11293,6698
11189,6647
10456,3737
11254,1601
11426,1603
11469,4791
10119,4871
11452,13131
10545,296
11390,1837
11293,6695
11293,6730
10119,4548
10109,3523
11289,3522
10194,22698
10246,8345
11120,314
11293,6699
11259,11337
10596,2050
11313,1144
10042,1080
10456,3735
10313,4887
11313,1158
10671,60
11100,6342
10883,10621
11426,1604
11213,1049
10228,5909
10842,113
11213,1050
10976,38805
11245,3539
11245,3813
11254,1777
11313,1157
10831,40531
10042,1076
11105,12434
11389,1858
10704,30573
11251,11299
10309,31020
10335,6931
10064,15775
10682,6563
10194,22665
10241,17332
10242,2817
10119,4872
10878,7308
10596,1891
11123,2914
10192,4973
11251,11292
11286,5221
10939,24574
11391,5755
10740,6237
10803,4434
10968,19161
11090,41404
10611,7555
10881,32208
11254,1778
10443,2929
10508,21543
10085,26188
10750,4492
10740,6221
10689,22219
10695,6112
10809,42985
11103,25709
11211,3290
10313,4776
10604,11007
10653,13429
10856,43212
10914,37043
11160,19210
11216,3492
11438,12224
10438,2569
10095,1021
10102,20991
10022,27231
10023,43226
10040,2998
11241,34911
11298,2851
11309,26313
10467,7552
10243,34592
11408,11033
10794,585
10698,30743
11199,25625
10616,6997
10599,2394
10803,4387
11252,27919
11254,1770
11245,3779
11284,2651
10914,37042
10914,37050
10939,24643
10936,24465
11395,32313
11410,33241
10442,536
10227,6168
11140,3533
11136,6571
10101,20936
10042,1082
10049,15224
10051,28937
10072,24266
10120,35689
10120,35819
10040,3032
10126,28027
10439,807
10695,5660
10605,9758
10596,2028
10642,40754
11389,1571
11477,9189
11461,23408
11313,1163
10883,10638
10886,40503
10890,41034
10867,31256
11154,1684
11223,15369
10204,6531
10222,7223
10222,7224
10276,21262
11306,2542
11015,28165
10122,15196
10068,32320
10029,28631
10001,24025
11447,23301
11429,40548
11416,6147
11469,4016
11469,4731
10689,22224
10595,2087
10599,2343
11176,27902
10337,26954
10384,26942
10301,1294
10348,20408
10783,43459
10783,43461
10764,25843
11301,30673
11293,6549
11266,994
11257,21271
10488,35951
10463,23747
10236,42780
10143,43330
10146,14849
10011,16353
10113,45364
10045,12431
11140,3532
11227,765
11126,6272
11110,21675
10896,40614
10598,2420
10592,2201
10682,6554
10688,23378
10671,58
10598,2417
10237,12738
10234,44980
